ref_id,head,tail,start codon,stop codon
2L52.1a.1,1.0,2154,20,1303
2L52.1b.1,1.0,663,1,663
2RSSE.1a.1,1.0,2332,270,1301
2RSSE.1b.1,1.0,2301,272,1708
2RSSE.1c.1,1.0,2030,272,1048
3R5.1a.1,1.0,823,14,661
3R5.1b.1,1.0,806,14,649
4R79.1a.1,1.0,1457,283,1317
4R79.1b.1,1.0,543,1,543
4R79.2a.1,1.0,1286,1,1188
4R79.2b.1,1.0,936,1,936
AC3.10.1,1.0,1160,49,1104
AC3.10.2,1.0,1138,27,1082
AC3.12a.1,1.0,367,30,314
AC3.12b.1,1.0,300,33,155
AC3.1a.1,1.0,1122,1,1068
AC3.1b.1,1.0,1041,1,1041
AC3.2.1,1.0,1651,20,1597
AC3.3.1,1.0,1405,42,1319
AC3.4.1,1.0,1401,37,1314
AC3.5a.1,1.0,3422,1,3273
AC3.5b.1,1.0,2952,1,2952
AC3.6.1,1.0,978,1,978
AC3.7.1,1.0,1728,53,1642
AC3.8.1,1.0,1690,10,1605
AC7.1a.1,1.0,1377,77,1279
AC7.1b.1,1.0,1281,77,1234
AC7.2a.1,1.0,2128,88,1767
AC7.2b.1,1.0,2046,9,1685
AC7.2c.1,1.0,2281,25,1920
AC7.2d.1,1.0,1650,1,1650
AC7.3.1,1.0,759,7,717
AC8.10.1,1.0,1350,1,1350
AC8.11.1,1.0,654,1,654
AC8.3.1,1.0,1125,1,1125
AC8.4.1,1.0,654,1,654
AH10.1.1,1.0,1825,70,1770
AH10.2.1,1.0,835,64,801
AH10.4.1,1.0,334,116,334
AH6.1.1,1.0,3414,1,3414
AH6.10.1,1.0,2314,1121,2110
AH6.11.1,1.0,1073,1,990
AH6.12.1,1.0,1053,1,990
AH6.14.1,1.0,1181,1,996
AH6.17.1,1.0,286,101,286
AH6.2.1,1.0,1050,6,995
AH6.3.1,1.0,835,93,785
AH6.4.1,1.0,1091,1,996
AH6.5.1,1.0,1895,8,1411
AH6.6.1,1.0,990,1,990
AH6.7.1,1.0,1037,1,990
AH6.8.1,1.0,1049,1,990
AH9.1.1,1.0,1607,1,1236
AH9.2.1,1.0,1166,28,924
AH9.3.1,1.0,955,6,770
AH9.3.2,1.0,1217,262,1026
AH9.4.1,1.0,1397,52,1146
AH9.6.1,1.0,1177,94,969
B0001.1a.1,1.0,996,4,819
B0001.1b.1,1.0,498,1,498
B0001.1c.1,1.0,213,1,213
B0001.2.1,1.0,2923,14,2794
B0001.3a.1,1.0,1964,32,1807
B0001.3b.1,1.0,1919,32,1759
B0001.3c.1,1.0,1922,36,1760
B0001.4a.1,1.0,1134,1,747
B0001.4c.1,1.0,1151,7,675
B0001.5.1,1.0,1855,7,1668
B0001.6.1,1.0,2197,11,2035
B0001.6.2,1.0,2352,154,2178
B0001.7a.1,1.0,2381,4,2199
B0001.7b.1,1.0,2402,4,2211
B0001.7c.1,1.0,366,1,366
B0001.8a.1,1.0,1658,11,1483
B0001.8b.1,1.0,1669,13,1491
B0001.8c.1,1.0,216,1,216
B0001.8d.1,1.0,1709,13,942
