ref_id,length
2L52.1a.1,2154
2L52.1b.1,663
2RSSE.1a.1,2332
2RSSE.1b.1,2301
2RSSE.1c.1,2030
3R5.1a.1,823
3R5.1b.1,806
4R79.1a.1,1457
4R79.1b.1,543
4R79.2a.1,1286
4R79.2b.1,936
AC3.10.1,1160
AC3.10.2,1138
AC3.12a.1,367
AC3.12b.1,300
AC3.1a.1,1122
AC3.1b.1,1041
AC3.2.1,1651
AC3.3.1,1405
AC3.4.1,1401
AC3.5a.1,3422
AC3.5b.1,2952
AC3.6.1,978
AC3.7.1,1728
AC3.8.1,1690
AC7.1a.1,1377
AC7.1b.1,1281
AC7.2a.1,2128
AC7.2b.1,2046
AC7.2c.1,2281
AC7.2d.1,1650
AC7.3.1,759
AC8.10.1,1350
AC8.11.1,654
AC8.3.1,1125
AC8.4.1,654
AH10.1.1,1825
AH10.2.1,835
AH10.4.1,334
AH6.1.1,3414
AH6.10.1,2314
AH6.11.1,1073
AH6.12.1,1053
AH6.14.1,1181
AH6.17.1,286
AH6.2.1,1050
AH6.3.1,835
AH6.4.1,1091
AH6.5.1,1895
AH6.6.1,990
AH6.7.1,1037
AH6.8.1,1049
AH9.1.1,1607
AH9.2.1,1166
AH9.3.1,955
AH9.3.2,1217
AH9.4.1,1397
AH9.6.1,1177
B0001.1a.1,996
B0001.1b.1,498
B0001.1c.1,213
B0001.2.1,2923
B0001.3a.1,1964
B0001.3b.1,1919
B0001.3c.1,1922
B0001.4a.1,1134
B0001.4c.1,1151
B0001.5.1,1855
B0001.6.1,2197
B0001.6.2,2352
B0001.7a.1,2381
B0001.7b.1,2402
B0001.7c.1,366
B0001.8a.1,1658
B0001.8b.1,1669
B0001.8c.1,216
B0001.8d.1,1709
B0001.8d.2,1711
B0001.8d.3,2028
B0001.8d.4,1867
B0019.1.1,2356
B0019.2.1,2345
B0024.1.1,1044
B0024.10.1,1837
B0024.11.1,1816
B0024.12.1,498
B0024.13.1,1026
B0024.14a.1,2992
B0024.14b.1,2969
B0024.14d.1,2715
B0024.14f.1,2628
B0024.15.1,1074
B0024.2.1,1008
B0024.3.1,899
B0024.4.1,1353
B0024.6a.1,3249
B0024.6b.1,3261
B0024.8a.1,3969
B0024.8b.1,2354
B0024.8c.1,1806
B0024.8d.1,1934
B0024.9a.1,522
B0024.9b.1,360
B0025.1a.1,2802
B0025.1c.1,2696
B0025.2.1,1629
B0025.2.2,1625
B0025.4.1,585
B0025.5.1,389
B0034.1.1,1139
B0034.1.2,978
B0034.2.1,120
B0034.3a.1,3442
B0034.3b.1,1134
B0034.3c.1,483
B0034.3d.1,543
B0034.4.1,1240
B0034.5.1,1280
B0034.7.1,412
B0035.10.1,411
B0035.11.1,1438
B0035.12.1,2814
B0035.12.2,2854
B0035.13.1,949
B0035.14a.1,1668
B0035.14b.1,141
B0035.15.1,993
B0035.16.1,1206
B0035.18.1,335
B0035.1a.1,1332
B0035.1b.1,1236
B0035.2.1,1256
B0035.21.1,316
B0035.22.1,30
B0035.3.1,780
B0035.4.1,548
B0035.5.1,1745
B0035.6.1,2486
B0035.7.1,384
B0035.8.1,372
B0035.9.1,312
B0041.1.1,656
B0041.11.1,1401
B0041.11.2,789
B0041.12.1,33
B0041.2a.1,3135
B0041.2a.2,2975
B0041.2b.1,3137
B0041.2c.1,2978
B0041.2d.1,2247
B0041.2e.1,3075
B0041.2f.1,3066
B0041.2g.1,2913
B0041.3.1,549
B0041.4.1,1119
B0041.5a.1,1535
B0041.5c.1,1393
B0041.6a.1,464
B0041.6b.1,414
B0041.7.1,4317
B0041.8.1,756
B0047.1.1,1315
B0047.1.2,1749
B0047.3.1,832
B0047.4.1,561
B0198.1.1,1415
B0198.2a.1,858
B0198.2b.1,1381
B0198.2b.2,1284
B0198.3a.1,3531
B0198.3a.2,3474
B0205.10.1,1493
B0205.10.2,1442
B0205.11.1,934
B0205.12.1,231
B0205.13.1,453
B0205.14.1,364
B0205.14.2,1092
B0205.14.3,401
B0205.1a.1,2614
B0205.1b.1,2121
B0205.2a.1,1317
B0205.2b.1,990
B0205.3.1,1290
B0205.4.1,1335
B0205.5.1,99
B0205.6.1,1431
B0205.7.1,1475
B0205.8.1,505
B0205.9.1,1833
B0207.1.1,1955
B0207.1.2,1862
B0207.10.1,276
B0207.11.1,884
B0207.12a.1,2118
B0207.12a.2,2017
B0207.12a.3,2369
B0207.12b.1,1461
B0207.12c.1,2279
B0207.2.1,815
B0207.2.2,900
B0207.3.1,1370
B0207.4.1,1112
B0207.4.2,1191
B0207.5a.1,11033
B0207.5b.1,11038
B0207.6.1,987
B0207.7.1,1384
B0207.9.1,482
B0207.9.2,537
B0212.1a.1,2011
B0212.1b.1,2259
B0212.1c.1,2272
B0212.2.1,1229
B0212.3.1,2107
B0212.4a.1,1345
B0212.4b.1,1495
B0212.4c.1,1135
B0212.4d.1,997
B0212.4d.2,709
B0212.4d.3,554
B0212.5.1,2875
B0213.10.1,1591
B0213.11a.1,1722
B0213.11b.1,1490
B0213.11c.1,1326
B0213.12.1,1579
B0213.14.1,1584
B0213.15a.1,1656
B0213.15b.1,1665
B0213.15c.1,360
B0213.15d.1,411
B0213.16.1,1571
B0213.17.1,264
B0213.2.1,316
B0213.3.1,335
B0213.4.1,354
B0213.5.1,714
B0213.6.1,451
B0213.7.1,1002
B0213.8.1,1089
B0213.9.1,1103
B0218.1.1,1823
B0218.1.2,1802
B0218.1.3,1793
B0218.2.1,1922
B0218.3.1,1671
B0218.5.1,1925
B0218.6a.1,1021
B0218.6b.1,555
B0218.7.1,1076
B0218.8.1,974
B0222.1.1,977
B0222.11.1,1335
B0222.15.1,479
B0222.2.1,1485
B0222.3.1,1622
B0222.4.1,1770
B0222.5.1,1522
B0222.6.1,1009
B0222.7.1,960
B0222.8.1,966
B0222.9.1,3829
B0228.1.1,1401
B0228.4a.1,5205
B0228.4c.1,23420
B0228.4d.1,4503
B0228.4e.1,8109
B0228.5a.1,552
B0228.5b.1,586
B0228.6.1,1052
B0228.7.1,917
B0228.7.2,1443
B0228.8.1,1365
B0228.9.1,1332
B0238.1.1,1811
B0238.10.1,1097
B0238.10.2,1049
B0238.11.1,1119
B0238.12.1,2663
B0238.12.2,1361
B0238.15.1,249
B0238.3.1,843
B0238.5a.1,971
B0238.6.1,972
B0238.7.1,1737
B0238.8.1,1012
B0238.9.1,2018
B0240.1.1,1455
B0240.2.1,2546
B0240.3a.1,4172
B0240.3b.1,2580
B0240.4.1,1965
B0244.10a.1,1357
B0244.10b.1,1192
B0244.15.1,1155
B0244.16.1,1083
B0244.17.1,1059
B0244.2.1,2591
B0244.4a.1,960
B0244.4b.1,1182
B0244.4c.1,891
B0244.5.1,1235
B0244.6.1,1581
B0244.7.1,1095
B0244.8.1,1795
B0244.9.1,632
B0250.1.1,864
B0250.10.1,921
B0250.18a.1,2773
B0250.18b.1,66
B0250.2.1,842
B0250.5.1,1081
B0250.6.1,852
B0250.7b.1,117
B0250.8.1,501
B0250.9.1,1481
B0252.1.1,2695
B0252.11.1,298
B0252.2.1,1790
B0252.3a.1,1727
B0252.3a.2,1591
B0252.3a.3,1877
B0252.3a.4,1829
B0252.3b.1,1455
B0252.3c.1,1419
B0252.4a.1,641
B0252.4b.1,621
B0252.5.1,794
B0252.8.1,294
B0261.1.1,2618
B0261.2a.1,8560
B0261.2b.1,8513
B0261.4a.1,925
B0261.4b.1,651
B0261.5.1,699
B0261.6a.1,617
B0261.6b.1,572
B0261.7.1,1165
B0261.8.1,664
B0261.9.1,526
B0272.1.1,1564
B0272.2.1,968
B0272.3.1,1052
B0272.4.1,969
B0273.115.1,480
B0273.1a.1,770
B0273.1a.2,777
B0273.1b.1,285
B0273.2.1,1843
B0273.3.1,1477
B0273.4a.1,3027
B0273.4b.1,1704
B0273.4c.1,3107
B0273.4d.1,2904
B0273.4d.2,2701
B0273.4e.1,2259
B0273.4f.1,1974
B0280.10a.1,1216
B0280.10b.1,1238
B0280.10b.2,1132
B0280.10b.3,642
B0280.10c.1,1140
B0280.11.1,1398
B0280.12a.1,2849
B0280.12b.1,3104
B0280.13.1,1915
B0280.17.1,895
B0280.1a.1,1242
B0280.1b.1,2412
B0280.1b.2,2252
B0280.2.1,2007
B0280.3.1,987
B0280.3.2,953
B0280.4.1,1197
B0280.5.1,1723
B0280.7.1,1173
B0280.8.1,1546
B0280.9.1,1399
B0281.1.1,465
B0281.3.1,1068
B0281.4.1,745
B0281.5a.1,855
B0281.5b.1,735
B0281.6.1,933
B0284.1.1,2719
B0284.2.1,1520
B0284.3.1,428
B0284.4.1,1263
B0285.10.1,1107
B0285.1a.1,2581
B0285.1a.2,2453
B0285.1b.1,4120
B0285.1b.2,2473
B0285.1c.1,4106
B0285.1c.2,2458
B0285.3.1,746
B0285.4.1,1167
B0285.5.1,2198
B0285.5.2,2206
B0285.5.3,1996
B0285.6.1,1830
B0285.7.1,2822
B0285.8.1,1360
B0285.9.1,1198
B0286.1.1,1014
B0286.1.2,1107
B0286.2a.1,4386
B0286.2b.1,1380
B0286.3.1,1404
B0286.4a.1,1598
B0286.4b.1,1345
B0286.4c.1,1469
B0286.4c.2,1618
B0286.4c.3,1680
B0286.4c.4,1922
B0286.4c.5,1540
B0286.4c.6,1362
B0286.4c.7,1389
B0286.4c.8,1296
B0286.4c.9,1313
B0286.4d.1,1077
B0286.5.1,1388
B0286.6.1,1178
B0294.1.1,627
B0294.3.1,567
B0302.1a.1,4038
B0302.1b.1,3720
B0302.2.1,409
B0302.4.1,219
